,Never,Rarely,Sometimes,Frequently,Always,Rural Code,Urban Code,Per Less than HS,Per Only HS,Per Some College,Per Bachelors or Higher,Population,Unemployment Rate,Per of Median HH Income,Per in Poverty,Per of Cases,Per of Deaths
0,0.053,0.074,0.134,0.295,0.444,2.0,2.0,0.113,0.326,0.284,0.27699999999999997,55869,0.027000000000000003,1.1248188781738282,0.121,0.01843598417727183,0.00037587928905117327
1,0.083,0.059,0.098,0.323,0.436,3.0,2.0,0.09699999999999999,0.276,0.313,0.313,223234,0.027000000000000003,1.156458282470703,0.10099999999999999,0.014074916903339098,9.855129594954174e-05
2,0.067,0.121,0.12,0.201,0.491,6.0,6.0,0.27,0.35700000000000004,0.251,0.122,24686,0.038,0.6948291778564453,0.271,0.024386291825326097,0.00020254395203759217
3,0.02,0.034,0.096,0.278,0.572,1.0,1.0,0.168,0.473,0.244,0.115,22394,0.031,0.9255760955810547,0.203,0.01643297311779941,8.930963650977941e-05
4,0.053,0.114,0.18,0.194,0.459,1.0,1.0,0.198,0.34,0.335,0.126,57826,0.027000000000000003,1.0218462371826171,0.163,0.013696261197385259,5.1879777262822954e-05
5,0.031,0.04,0.144,0.286,0.5,6.0,6.0,0.248,0.397,0.223,0.133,10101,0.036000000000000004,0.6162909698486329,0.3,0.04385704385704386,0.001188001188001188
6,0.102,0.053,0.257,0.137,0.451,6.0,6.0,0.154,0.439,0.24600000000000002,0.161,19448,0.036000000000000004,0.7715516662597657,0.21600000000000003,0.038924310983134515,0.001851090086384204
7,0.152,0.108,0.13,0.167,0.442,3.0,2.0,0.159,0.324,0.337,0.18,113605,0.035,0.9222731018066406,0.172,0.013027595616390124,7.92218652348048e-05
8,0.117,0.037,0.15,0.136,0.56,6.0,5.0,0.18600000000000003,0.384,0.297,0.132,33254,0.028999999999999998,0.8115547180175782,0.196,0.025891622060504,0.0011427196728213147
9,0.135,0.027,0.161,0.158,0.52,6.0,6.0,0.198,0.38299999999999995,0.29,0.129,26196,0.028999999999999998,0.8881806182861328,0.159,0.009276225377920293,0.00030539013589861045
10,0.06,0.07,0.058,0.194,0.618,1.0,1.0,0.17800000000000002,0.441,0.24,0.142,44428,0.027000000000000003,0.9598423767089844,0.16,0.01604843792203115,0.00013504996848834067
11,0.049,0.038,0.126,0.219,0.568,9.0,10.0,0.18600000000000003,0.382,0.302,0.13,12589,0.047,0.7689247131347656,0.226,0.021923901819048377,0.0009532131225673207
12,0.049,0.088,0.164,0.268,0.43,7.0,11.0,0.188,0.43700000000000006,0.249,0.126,23622,0.057999999999999996,0.8464584350585938,0.184,0.021124375582084496,0.000381000762001524
13,0.148,0.158,0.195,0.169,0.329,9.0,10.0,0.245,0.363,0.29100000000000004,0.102,13235,0.03,0.7834888458251953,0.166,0.015413675859463544,0.00037778617302606723
14,0.151,0.125,0.138,0.217,0.368,8.0,4.0,0.226,0.396,0.24100000000000002,0.13699999999999998,14910,0.032,0.9904386901855469,0.133,0.007578806170355466,6.70690811535882e-05
15,0.101,0.152,0.094,0.186,0.466,4.0,5.0,0.138,0.27899999999999997,0.349,0.23399999999999999,52342,0.028999999999999998,1.1067779541015625,0.15,0.013755683772114172,9.552558175079286e-05
16,0.082,0.096,0.152,0.159,0.51,3.0,2.0,0.156,0.36,0.297,0.187,55241,0.037000000000000005,0.9017210388183594,0.146,0.019315363588638872,0.0001991274596766894
17,0.099,0.052,0.259,0.192,0.399,7.0,11.0,0.192,0.488,0.213,0.107,12067,0.04,0.8023603820800781,0.222,0.031242230877600065,0.0008287063893262617
18,0.055,0.131,0.167,0.263,0.384,8.0,3.0,0.204,0.386,0.295,0.11599999999999999,10663,0.03,0.8117285919189453,0.171,0.009003094813842259,0.00018756447528838038
19,0.187,0.128,0.129,0.201,0.356,6.0,6.0,0.171,0.354,0.325,0.149,37049,0.034,0.8660446929931641,0.172,0.021242138789171097,0.0005668169181354423
20,0.06,0.091,0.199,0.233,0.416,8.0,6.0,0.21600000000000003,0.38799999999999996,0.24,0.156,13772,0.027999999999999997,0.8365494537353516,0.168,0.021347661922741797,0.0002904443799012489
21,0.13,0.024,0.249,0.217,0.379,4.0,3.0,0.182,0.35600000000000004,0.324,0.13699999999999998,83768,0.026000000000000002,0.9831179809570313,0.122,0.013776143634800878,0.00013131506064368255
22,0.089,0.113,0.118,0.22,0.46,4.0,5.0,0.142,0.327,0.361,0.17,49172,0.031,0.8715303802490234,0.18100000000000002,0.01588302285853738,0.00036606198649638007
23,0.095,0.1,0.159,0.122,0.524,4.0,5.0,0.193,0.35200000000000004,0.304,0.151,37196,0.055,0.6573950958251953,0.26,0.035971609850521565,0.0006183460587159909
24,0.084,0.051,0.106,0.179,0.58,6.0,6.0,0.259,0.33299999999999996,0.281,0.127,71513,0.027999999999999997,0.8552471160888672,0.182,0.02354816606770797,0.00016780165843972424
25,0.042,0.095,0.127,0.252,0.485,2.0,2.0,0.136,0.32799999999999996,0.29,0.245,81209,0.026000000000000002,1.2035695648193359,0.114,0.01997315568471475,0.00045561452548362863
26,0.114,0.026,0.188,0.285,0.387,6.0,6.0,0.185,0.445,0.244,0.127,36633,0.035,0.8250178527832032,0.205,0.027843747440832036,0.0004094668741298829
27,0.096,0.103,0.178,0.122,0.501,3.0,2.0,0.155,0.32899999999999996,0.33899999999999997,0.177,102268,0.033,0.8314886474609375,0.188,0.018950209254116633,0.00023467751398286853
28,0.138,0.048,0.151,0.233,0.429,6.0,6.0,0.17600000000000002,0.415,0.27899999999999997,0.129,16302,0.031,0.8539916229248047,0.17,0.010734879155931788,0.0003067108330266225
29,0.065,0.071,0.223,0.156,0.484,6.0,6.0,0.23199999999999998,0.368,0.271,0.129,31362,0.027999999999999997,0.8667787170410156,0.161,0.03752949429245584,0.0006377144314775843
30,0.176,0.131,0.089,0.158,0.445,3.0,2.0,0.209,0.37200000000000005,0.308,0.111,26271,0.028999999999999998,0.8322999572753906,0.161,0.008602641696166875,3.8064786266225115e-05
31,0.03,0.053,0.127,0.167,0.623,8.0,6.0,0.24100000000000002,0.368,0.29,0.10099999999999999,8111,0.055999999999999994,0.5543450927734375,0.317,0.029836025151029465,0.0013561829614104303
32,0.026,0.061,0.084,0.191,0.639,3.0,2.0,0.16399999999999998,0.426,0.26899999999999996,0.141,14651,0.039,0.7870236206054687,0.205,0.03119241007439765,0.0017063681659954951
33,0.066,0.068,0.17,0.258,0.438,3.0,2.0,0.198,0.335,0.287,0.18,17205,0.036000000000000004,0.9386915588378906,0.172,0.014530659691950014,0.00023249055507120023
34,0.085,0.079,0.135,0.268,0.433,3.0,2.0,0.14300000000000002,0.316,0.33,0.21,105882,0.03,0.968457260131836,0.19399999999999998,0.012400596890878525,0.0001322226629644321
35,0.092,0.089,0.11,0.249,0.46,6.0,5.0,0.175,0.408,0.275,0.142,51626,0.033,0.8561163330078125,0.147,0.015399217448572425,9.685042420485802e-05
36,0.049,0.037,0.107,0.179,0.628,1.0,1.0,0.10300000000000001,0.268,0.306,0.324,658573,0.028999999999999998,1.0455081176757812,0.162,0.017735315599030025,0.00034468464391950473
37,0.107,0.045,0.132,0.189,0.527,8.0,7.0,0.17600000000000002,0.39899999999999997,0.3,0.125,13805,0.031,0.8245156860351562,0.153,0.01419775443679826,0.00014487504527345164
38,0.093,0.119,0.141,0.179,0.469,3.0,2.0,0.126,0.36,0.275,0.239,92729,0.033,0.9307913970947266,0.157,0.011172340907375254,0.00012940935413948172
39,0.162,0.08,0.088,0.251,0.419,3.0,2.0,0.21,0.415,0.258,0.11699999999999999,32924,0.031,0.9232389068603516,0.177,0.009203012999635524,0.0
40,0.053,0.064,0.138,0.183,0.562,3.0,2.0,0.095,0.24100000000000002,0.32299999999999995,0.341,164542,0.027000000000000003,1.0461455535888673,0.155,0.015783204288266826,0.00026133145336752924
41,0.102,0.034,0.133,0.336,0.395,2.0,2.0,0.157,0.303,0.285,0.255,98915,0.026000000000000002,1.2502945709228515,0.12,0.011899105292422787,0.0001314259717939645
42,0.12,0.073,0.145,0.199,0.464,2.0,2.0,0.225,0.386,0.248,0.141,9726,0.057,0.6553861999511719,0.266,0.05726917540612791,0.0026732469668928646
43,0.008,0.033,0.241,0.172,0.545,6.0,6.0,0.183,0.301,0.309,0.207,18068,0.043,0.6621660614013671,0.293,0.017378791233119327,0.0006641576267434137
44,0.062,0.05,0.123,0.177,0.589,2.0,2.0,0.08900000000000001,0.20800000000000002,0.28600000000000003,0.41700000000000004,372909,0.025,1.325240020751953,0.115,0.01316943275705333,8.044858128926897e-05
