,Never,Rarely,Sometimes,Frequently,Always,Always-Freq,Never-Rare-Some,Rural Code,Urban Code,Per Less than HS,Per Only HS,Per Some College,Per Bachelors or Higher,Population,Unemployment Rate,Per of Median HH Income,Per in Poverty,Per of Cases,Per of Deaths
1925,0.039,0.105,0.041,0.237,0.578,0.815,0.185,4,5,0.096,0.22,0.315,0.369,100880,0.038,1.11420509338379,0.113,0.008802537668517,0.000198255352895
1011,0.055,0.057,0.122,0.236,0.531,0.767,0.234,3,2,0.1,0.347,0.324,0.229,101511,0.039,1.00696571350098,0.154,0.006885953246446,6.89580439558274E-05
2030,0.098,0.08,0.115,0.156,0.551,0.707,0.293,4,3,0.122,0.451,0.279,0.148,101883,0.048,0.897604904174805,0.132,0.015370572126851,0.000588910809458
1887,0.034,0.068,0.212,0.215,0.47,0.685,0.314,3,2,0.118,0.259,0.366,0.257,102139,0.041,0.930020217895508,0.138,0.006128902769755,9.79057950440087E-05
1855,0.012,0.01,0.046,0.098,0.833,0.931,0.068,3,2,0.058,0.194,0.221,0.527,102180,0.036,0.821455307006836,0.169,0.002250929731846,1.95733020160501E-05
27,0.096,0.103,0.178,0.122,0.501,0.623,0.377,3,2,0.155,0.329,0.339,0.177,102268,0.033,0.831488647460938,0.188,0.018950209254117,0.000234677513983
2017,0.085,0.104,0.114,0.382,0.314,0.696,0.303,3,2,0.104,0.385,0.332,0.178,102351,0.04,0.992623977661133,0.129,0.006204140653242,0.000410352610136
1188,0.009,0.018,0.054,0.182,0.738,0.92,0.081,1,1,0.11,0.377,0.285,0.228,102855,0.04,0.869154205322266,0.103,0.006134850031598,0.000291672743182
2216,0.039,0.034,0.083,0.238,0.606,0.844,0.156,3,2,0.114,0.405,0.257,0.224,103009,0.033,1.06699234008789,0.076,0.004553000223281,0.000194157792038
876,0.113,0.165,0.137,0.16,0.425,0.585,0.415,3,2,0.133,0.322,0.315,0.23,103107,0.027,0.945184173583984,0.128,0.035206145072595,0.000475234465167
1228,0.014,0.055,0.103,0.202,0.627,0.829,0.172,3,2,0.104,0.347,0.36,0.189,103126,0.047,0.842209625244141,0.134,0.00525570661133,0.000300603145666
3032,0.121,0.155,0.158,0.244,0.322,0.566,0.434,3,2,0.083,0.366,0.324,0.227,103403,0.029,1.0269255065918,0.073,0.005270640116824,5.80253957815537E-05
1203,0.006,0.011,0.063,0.116,0.804,0.92,0.08,2,2,0.119,0.325,0.288,0.268,103609,0.046,0.627290992736816,0.16,0.012421700817497,0.000424673532222
