,Never,Rarely,Sometimes,Frequently,Always,Always-Freq,Never-Rare-Some,Per of Cases,Per of Deaths
0,0.053,0.074,0.134,0.295,0.444,0.739,0.261,0.018435984177272,0.000375879289051
1,0.083,0.059,0.098,0.323,0.436,0.759,0.24,0.014074916903339,9.85512959495417E-05
2,0.067,0.121,0.12,0.201,0.491,0.692,0.308,0.024386291825326,0.000202543952038
3,0.02,0.034,0.096,0.278,0.572,0.85,0.15,0.016432973117799,8.93096365097794E-05
4,0.053,0.114,0.18,0.194,0.459,0.653,0.347,0.013696261197385,5.1879777262823E-05
5,0.031,0.04,0.144,0.286,0.5,0.786,0.215,0.043857043857044,0.001188001188001
6,0.102,0.053,0.257,0.137,0.451,0.588,0.412,0.038924310983135,0.001851090086384
7,0.152,0.108,0.13,0.167,0.442,0.609,0.39,0.01302759561639,7.92218652348048E-05
8,0.117,0.037,0.15,0.136,0.56,0.696,0.304,0.025891622060504,0.001142719672821
9,0.135,0.027,0.161,0.158,0.52,0.678,0.323,0.00927622537792,0.000305390135899
10,0.06,0.07,0.058,0.194,0.618,0.812,0.188,0.016048437922031,0.000135049968488
11,0.049,0.038,0.126,0.219,0.568,0.787,0.213,0.021923901819048,0.000953213122567
12,0.049,0.088,0.164,0.268,0.43,0.698,0.301,0.021124375582085,0.000381000762002
13,0.148,0.158,0.195,0.169,0.329,0.498,0.501,0.015413675859464,0.000377786173026
14,0.151,0.125,0.138,0.217,0.368,0.585,0.414,0.007578806170355,6.70690811535882E-05
15,0.101,0.152,0.094,0.186,0.466,0.652,0.347,0.013755683772114,9.55255817507929E-05
16,0.082,0.096,0.152,0.159,0.51,0.669,0.33,0.019315363588639,0.000199127459677
17,0.099,0.052,0.259,0.192,0.399,0.591,0.41,0.0312422308776,0.000828706389326
18,0.055,0.131,0.167,0.263,0.384,0.647,0.353,0.009003094813842,0.000187564475288
19,0.187,0.128,0.129,0.201,0.356,0.557,0.444,0.021242138789171,0.000566816918135
20,0.06,0.091,0.199,0.233,0.416,0.649,0.35,0.021347661922742,0.000290444379901
21,0.13,0.024,0.249,0.217,0.379,0.596,0.403,0.013776143634801,0.000131315060644
22,0.089,0.113,0.118,0.22,0.46,0.68,0.32,0.015883022858537,0.000366061986496
23,0.095,0.1,0.159,0.122,0.524,0.646,0.354,0.035971609850522,0.000618346058716
24,0.084,0.051,0.106,0.179,0.58,0.759,0.241,0.023548166067708,0.00016780165844
25,0.042,0.095,0.127,0.252,0.485,0.737,0.264,0.019973155684715,0.000455614525484
26,0.114,0.026,0.188,0.285,0.387,0.672,0.328,0.027843747440832,0.00040946687413
27,0.096,0.103,0.178,0.122,0.501,0.623,0.377,0.018950209254117,0.000234677513983
28,0.138,0.048,0.151,0.233,0.429,0.662,0.337,0.010734879155932,0.000306710833027
29,0.065,0.071,0.223,0.156,0.484,0.64,0.359,0.037529494292456,0.000637714431478
30,0.176,0.131,0.089,0.158,0.445,0.603,0.396,0.008602641696167,3.80647862662251E-05
31,0.03,0.053,0.127,0.167,0.623,0.79,0.21,0.02983602515103,0.00135618296141
32,0.026,0.061,0.084,0.191,0.639,0.83,0.171,0.031192410074398,0.001706368165996
33,0.066,0.068,0.17,0.258,0.438,0.696,0.304,0.01453065969195,0.000232490555071
34,0.085,0.079,0.135,0.268,0.433,0.701,0.299,0.012400596890879,0.000132222662964
35,0.092,0.089,0.11,0.249,0.46,0.709,0.291,0.015399217448573,9.6850424204858E-05
36,0.049,0.037,0.107,0.179,0.628,0.807,0.193,0.01773531559903,0.00034468464392
37,0.107,0.045,0.132,0.189,0.527,0.716,0.284,0.014197754436798,0.000144875045273
38,0.093,0.119,0.141,0.179,0.469,0.648,0.353,0.011172340907375,0.000129409354139
39,0.162,0.08,0.088,0.251,0.419,0.67,0.33,0.009203012999636,0
40,0.053,0.064,0.138,0.183,0.562,0.745,0.255,0.015783204288267,0.000261331453368
41,0.102,0.034,0.133,0.336,0.395,0.731,0.269,0.011899105292423,0.000131425971794
42,0.12,0.073,0.145,0.199,0.464,0.663,0.338,0.057269175406128,0.002673246966893
43,0.008,0.033,0.241,0.172,0.545,0.717,0.282,0.017378791233119,0.000664157626743
44,0.062,0.05,0.123,0.177,0.589,0.766,0.235,0.013169432757053,8.0448581289269E-05
45,0.033,0.151,0.118,0.186,0.512,0.698,0.302,0.027143084345014,0.000742193712559
46,0.129,0.064,0.246,0.207,0.353,0.56,0.439,0.018782187215995,0.00080783600929
47,0.075,0.064,0.129,0.253,0.479,0.732,0.268,0.030245727158121,0.000320333974001
48,0.077,0.07,0.102,0.244,0.506,0.75,0.249,0.020623895839888,0.000469494929939
49,0.112,0.041,0.182,0.288,0.378,0.666,0.335,0.020932812424637,0.000192929146771
50,0.056,0.095,0.123,0.212,0.513,0.725,0.274,0.02732619234743,0.000635800888355
51,0.078,0.077,0.082,0.304,0.459,0.763,0.237,0.018290594005632,0.000125335271852
52,0.025,0.084,0.087,0.187,0.618,0.805,0.196,0.049534909783705,0.000336209794912
53,0.031,0.06,0.169,0.157,0.584,0.741,0.26,0.018364274962368,0.000501756146513
54,0.06,0.131,0.145,0.333,0.33,0.663,0.336,0.01987074953192,0.000211390952467
55,0.158,0.226,0.105,0.144,0.368,0.512,0.489,0.017428043306047,0.000484112314057
56,0.069,0.067,0.08,0.213,0.57,0.783,0.216,0.020910612308276,1.72529804523731E-05
57,0.027,0.134,0.144,0.2,0.495,0.695,0.305,0.013942264724283,0.000122888551256
58,0.022,0.075,0.118,0.24,0.545,0.785,0.215,0.01428098960965,0.000146989922003
59,0.055,0.068,0.118,0.197,0.562,0.759,0.241,0.02945199967812,0.001448459000563
60,0.113,0.15,0.208,0.169,0.361,0.53,0.471,0.0125659556378,0.000175048138238
61,0.067,0.095,0.136,0.296,0.406,0.702,0.298,0.021007258404142,0.001957044120197
62,0.041,0.036,0.144,0.247,0.532,0.779,0.221,0.018757612667479,0.000300924267393
63,0.09,0.081,0.145,0.256,0.429,0.685,0.316,0.023220667180932,0.001039026463689
64,0.018,0.077,0.102,0.307,0.495,0.802,0.197,0.018926865123117,0.000673771897587
65,0.061,0.098,0.199,0.187,0.455,0.642,0.358,0.039718499951798,0.000867637134869
66,0.13,0.046,0.328,0.183,0.312,0.495,0.504,0.018536544077193,0.000423208768886
67,0.067,0.032,0.034,0.316,0.551,0.867,0.133,0.000899011087803,0
68,0.078,0.031,0.03,0.337,0.524,0.861,0.139,0.015796947106851,0
69,0.042,0.05,0.049,0.196,0.663,0.859,0.141,0.0065625,4.16666666666667E-05
70,0.101,0.022,0.014,0.45,0.413,0.863,0.137,0.00119656260198,0
71,0.062,0.081,0.067,0.225,0.565,0.79,0.21,0.001907486886028,0
72,0.072,0.025,0.027,0.391,0.484,0.875,0.124,0.004475183075671,0
73,0.094,0.084,0.175,0.234,0.413,0.647,0.353,0.004532829456164,5.16267591818191E-05
74,0.055,0.05,0.123,0.419,0.352,0.771,0.228,0.003162055335968,0
75,0.051,0.067,0.133,0.396,0.353,0.749,0.251,0.004503659223119,3.12754112716582E-05
