,Never,Rarely,Sometimes,Frequently,Always,Always-Freq,Never-Rare-Some,Rural Code,Urban Code,Per Less than HS,Per Only HS,Per Some College,Per Bachelors or Higher,Population,Unemployment Rate,Per of Median HH Income,Per in Poverty,Per of Cases,Per of Deaths
2623,0.04,0.01,0.08,0.098,0.772,0.87,0.13,9,8,0.663,0.211,0.058,0.068,404,0.036,0.720317306518555,0.142,0.014851485148515,0.002475247524752
1688,0.121,0.147,0.115,0.257,0.361,0.618,0.383,9,8,0.109,0.249,0.393,0.249,494,0.027,0.82213623046875,0.126,0.008097165991903,0
1779,0.057,0.152,0.062,0.115,0.614,0.729,0.271,9,12,0.12,0.329,0.308,0.243,625,0.051,0.733588333129883,0.154,0.0016,0
1678,0.151,0.123,0.11,0.279,0.337,0.616,0.384,9,12,0.065,0.346,0.35,0.239,682,0.031,0.791483612060547,0.082,0.005865102639296,0
1633,0.122,0.188,0.16,0.259,0.27,0.529,0.47,8,7,0.058,0.356,0.351,0.235,696,0.027,0.904031600952148,0.122,0.002873563218391,0
1715,0.152,0.12,0.118,0.302,0.308,0.61,0.39,9,10,0.075,0.293,0.392,0.24,722,0.035,0.812150421142578,0.139,0.001385041551247,0
294,0.032,0.038,0.097,0.27,0.563,0.833,0.167,9,10,0.071,0.267,0.317,0.345,728,0.03,0.655270767211914,0.137,0.002747252747253,0
2646,0.043,0.002,0.21,0.203,0.542,0.745,0.255,9,12,0.097,0.431,0.239,0.233,743,0.016,1.06721939086914,0.105,0.010767160161507,0
1640,0.249,0.128,0.134,0.216,0.272,0.488,0.511,9,8,0.029,0.292,0.472,0.207,745,0.037,0.864370346069336,0.113,0.002684563758389,0
2006,0.217,0.179,0.142,0.246,0.215,0.461,0.538,9,12,0.107,0.28,0.347,0.265,750,0.023,0.7818017578125,0.135,0.004,0
2624,0.069,0.168,0.172,0.167,0.424,0.591,0.409,9,10,0.187,0.327,0.25,0.236,762,0.023,0.821169815063477,0.115,0.002624671916011,0
278,0.049,0.072,0.138,0.264,0.478,0.742,0.259,9,12,0.032,0.193,0.376,0.399,769,0.023,0.817272796630859,0.094,0.023407022106632,0
2711,0.021,0.061,0.167,0.154,0.597,0.751,0.249,9,12,0.185,0.29,0.371,0.153,776,0.034,0.713212814331055,0.175,0.002577319587629,0
266,0.043,0.05,0.117,0.271,0.519,0.79,0.21,9,12,0.062,0.257,0.243,0.439,820,0.037,0.796210327148438,0.089,0.003658536585366,0
1604,0.134,0.181,0.168,0.246,0.271,0.517,0.483,3,2,0.052,0.4,0.288,0.259,821,0.041,0.706906814575195,0.197,0.003654080389769,0
559,0.119,0.228,0.196,0.239,0.218,0.457,0.543,9,12,0.392,0.236,0.216,0.155,845,0.037,0.80101921081543,0.145,0.002366863905325,0
