county,state,fips,cases,deaths
Autauga,Alabama,1001,1030,21
Baldwin,Alabama,1003,3142,22
Barbour,Alabama,1005,602,5
Bibb,Alabama,1007,368,2
Blount,Alabama,1009,792,3
Bullock,Alabama,1011,443,12
Butler,Alabama,1013,757,36
Calhoun,Alabama,1015,1480,9
Chambers,Alabama,1017,861,38
Cherokee,Alabama,1019,243,8
Chilton,Alabama,1021,713,6
Choctaw,Alabama,1023,276,12
Clarke,Alabama,1025,499,9
Clay,Alabama,1027,204,5
Cleburne,Alabama,1029,113,1
Coffee,Alabama,1031,720,5
Colbert,Alabama,1033,1067,11
Conecuh,Alabama,1035,377,10
Coosa,Alabama,1037,96,2
Covington,Alabama,1039,787,21
Crenshaw,Alabama,1041,294,4
Cullman,Alabama,1043,1154,11
Dale,Alabama,1045,781,18
Dallas,Alabama,1047,1338,23
DeKalb,Alabama,1049,1684,12
Elmore,Alabama,1051,1622,37
Escambia,Alabama,1053,1020,15
Etowah,Alabama,1055,1938,24
Fayette,Alabama,1057,175,5
Franklin,Alabama,1059,1177,20
Geneva,Alabama,1061,226,1
Greene,Alabama,1063,242,11
Hale,Alabama,1065,457,25
Henry,Alabama,1067,250,4
Houston,Alabama,1069,1313,14
Jackson,Alabama,1071,795,5
Jefferson,Alabama,1073,11680,227
Lamar,Alabama,1075,196,2
Lauderdale,Alabama,1077,1036,12
Lawrence,Alabama,1079,303,0
Lee,Alabama,1081,2597,43
Limestone,Alabama,1083,1177,13
Lowndes,Alabama,1085,557,26
Macon,Alabama,1087,314,12
Madison,Alabama,1089,4911,30
Marengo,Alabama,1091,512,14
Marion,Alabama,1093,558,24
Marshall,Alabama,1095,2927,31
Mobile,Alabama,1097,8522,194
Monroe,Alabama,1099,434,4
Montgomery,Alabama,1101,6189,144
Morgan,Alabama,1103,2189,15
Perry,Alabama,1105,442,3
Pickens,Alabama,1107,366,10
Pike,Alabama,1109,658,7
Randolph,Alabama,1111,396,11
Russell,Alabama,1113,1212,1
Shelby,Alabama,1117,3109,32
St. Clair,Alabama,1115,1248,11
Sumter,Alabama,1119,366,18
Talladega,Alabama,1121,1005,14
Tallapoosa,Alabama,1123,848,79
Tuscaloosa,Alabama,1125,3927,63
Walker,Alabama,1127,1475,66
Washington,Alabama,1129,309,11
Wilcox,Alabama,1131,412,9
Winston,Alabama,1133,438,10
Aleutians East Borough,Alaska,2013,3,0
Aleutians West Census Area,Alaska,2016,89,0
Anchorage,Alaska,2020,1890,12
Bethel Census Area,Alaska,2050,22,0
Bristol Bay plus Lake and Peninsula,Alaska,2997,71,0
Denali Borough,Alaska,2068,4,0
Dillingham Census Area,Alaska,2070,22,0
Fairbanks North Star Borough,Alaska,2090,439,5
Haines Borough,Alaska,2100,8,0
Juneau City and Borough,Alaska,2110,144,1
Kenai Peninsula Borough,Alaska,2122,444,1
Ketchikan Gateway Borough,Alaska,2130,49,0
Kodiak Island Borough,Alaska,2150,16,0
Kusilvak Census Area,Alaska,2158,4,0
Matanuska-Susitna Borough,Alaska,2170,300,2
